,ra,dec,pmra,pmdec
27,219.46112094005173,-26.82966023804641,0.5177486140704967,-0.8622413234704958
28,219.4802300572329,-26.81119451525574,-0.9705950792434048,-1.867014138703953
29,219.4846408371179,-26.81407011072581,-0.5870141233185707,-0.7511188845809554
30,219.47091345458827,-26.771188980491143,-0.1762342305263038,-1.2060683793396771
31,219.4238001340951,-26.810149205180124,-0.9882345243186542,-0.8996901538615292
32,219.32894142040544,-26.762973772842383,-0.1445562339897352,-1.3101024571767277
33,219.4222299666126,-26.704167652714105,-0.677380502120283,-0.4631916962434778
34,219.3406618396613,-26.699784433888976,0.4002977781015809,-1.6031222339615303
35,219.73164880804225,-26.86845262180528,0.0729824810657109,-1.6850198525430495
36,219.6447301947628,-26.86030307971673,0.4436301616692021,-0.4239828820594213
37,219.65613288303743,-26.752374519368267,-0.9047638558325616,-1.3505701437505475
38,219.7232734511834,-26.631972759656648,0.4336550027421894,-1.534875488562697
39,219.72295831993048,-26.615865395818567,0.5648173197836546,-0.3018397899861111
40,220.0338418373628,-26.63887582932254,-0.7745757922325288,-0.9808836386675268
41,219.95274235581903,-26.645700094678936,-0.4738024450949005,-1.0521363262449943
42,219.9391906850434,-26.620624553704868,0.3137518224782874,-1.4651976197986365
43,219.9716466350873,-26.60226767928048,-0.3169473574140244,-1.2243251613403197
44,219.904153782414,-26.60944842203672,0.0169197026037901,-1.862988254688425
45,219.9457799822817,-26.591658626838907,-0.0908826876962403,-1.7681980018186656
46,219.9305401657521,-26.59467965296464,-0.4631969237405997,-1.0970637203873963
47,219.9404903681069,-26.58314109776072,0.1596512050908612,-1.3470414560480672
48,219.9616202913277,-26.558908001828986,0.4301395205577158,-1.6554202309424797
49,219.96676748452632,-26.56189583586245,-0.4641515803029317,-1.0913779218482405
50,219.9932082381165,-26.549479400396464,-0.0645367227178088,-1.0624037353705893
51,219.8277648021455,-26.63404626865273,-0.9429997065439536,-0.9058946721583606
52,219.8933939984624,-26.613273852012025,-0.4471926036431293,-0.7703605145425306
53,219.86681755283823,-26.6175895045886,-0.4552495835700763,-1.054853216538707
54,219.8803578824718,-26.59735900019356,-0.2584738596674459,-0.6579027736303669
55,219.87574532342109,-26.60011599715301,-0.4407454204968068,-0.7778817116707656
56,219.8225834062073,-26.60874121870572,-0.2729825229159683,-1.2778592128008888
